objectid,treelatitude,treelongitude,centerlatitude,centerlongitude,dbh,species,creationdate,roadsidebydate,roadsidebycoord,isatcorrectsideofroad,truetreelongitude,truetreelatitude
32,467258.1457822883,258589.83893489308,467255.4632197756,258592.40421937435,10,1,11/14/2021 14:36,N/W,N/W,True,258588.34436213603,467259.70868296456
33,467252.05591489305,258588.137738972,467249.8658645429,258590.23234644358,11,1,11/14/2021 14:38,N/W,N/W,True,258586.6318214701,467253.6304510279
34,467248.867331833,258585.9490048918,467245.9691513171,258588.72034943238,21,0,11/14/2021 14:39,N/W,N/W,True,258584.33093238363,467250.5594585779
35,467243.0879527177,258584.30192015338,467240.8288765443,258586.97634474153,17,0,11/14/2021 14:40,N/W,N/W,True,258582.56301283778,467244.55680104555
36,467238.75573186646,258583.57428869768,467236.9091001334,258585.7607658242,13,1,11/14/2021 14:41,N/W,N/W,True,258581.88493162932,467240.18251119705
37,467232.977303596,258581.1720710957,467230.7220056341,258583.84205462487,8,1,11/14/2021 14:41,N/W,N/W,True,258579.54488122,467234.3517682585
38,467227.89322038775,258581.53199284605,467227.0999143783,258582.77033696446,14,1,11/14/2021 14:42,N/W,N/W,True,258579.65636009377,467229.0947852127
39,467220.58985621564,258580.50137424542,467220.16618379223,258581.16378745614,12,1,11/14/2021 14:43,N/W,N/W,True,258578.6522438197,467221.7725403107
40,467215.14225519315,258579.2309294042,467214.7139954551,258579.9005085988,18,0,11/14/2021 14:44,N/W,N/W,True,258577.29966747877,467216.37748133653
41,467203.1129113963,258578.3907372841,467203.00579708966,258579.1607749211,15,1,11/14/2021 14:46,N/W,N/W,True,258576.16838503798,467203.4220465717
42,467195.6459871392,258577.95102278213,467195.80629648204,258578.9402162518,15,1,11/14/2021 14:47,N/W,N/W,True,258575.736169354,467195.28704653913
43,467190.5299570144,258578.96670830256,467190.5887577583,258579.32428896453,14,1,11/14/2021 14:47,N/W,N/W,True,258576.76872752502,467190.16851994995
44,467184.0365830315,258578.9927934538,467184.16715115076,258579.7969961022,18,1,11/14/2021 14:48,N/W,N/W,True,258576.72992393552,467183.66918979096
45,467177.03928122605,258578.7637611074,467177.2880308823,258580.303382645,12,1,11/14/2021 14:49,N/W,N/W,True,258576.59686064647,467176.68918496434
